"","Material","Component","Product Category","Finished Product"
"1","EVCB-001","None","EV Car Battery - FP","EV Car Battery"
"2","BC-001","Battery Cells","Battery Cells","EV Car Battery"
"3","BMS-001","Battery Management System (BMS)","Battery Management System (BMS)","EV Car Battery"
"4","CF-001","Cooling Fans","Thermal Management System","EV Car Battery"
"5","CF-002","Cooling Fans","Thermal Management System","EV Car Battery"
"6","HE-001","Heat Exchangers","Thermal Management System","EV Car Battery"
"7","HE-002","Heat Exchangers","Thermal Management System","EV Car Battery"
"8","TS-001","Temperature Sensors","Thermal Management System","EV Car Battery"
"9","TS-002","Temperature Sensors","Thermal Management System","EV Car Battery"
"10","ECB-001","Enclose Car Battery","Enclosure","EV Car Battery"
"11","W-001","Wires","Wiring and Connectors","EV Car Battery"
"12","W-002","Wires","Wiring and Connectors","EV Car Battery"
"13","C-001","Connectors","Wiring and Connectors","EV Car Battery"
"14","C-002","Connectors","Wiring and Connectors","EV Car Battery"
"15","IM-001","Insulation Materials","Insulation Materials","EV Car Battery"
"16","IM-002","Insulation Materials","Insulation Materials","EV Car Battery"
"17","IM-003","Insulation Materials","Insulation Materials","EV Car Battery"
"18","F-001","Fuses","Miscellaneous","EV Car Battery"
"19","F-002","Fuses","Miscellaneous","EV Car Battery"
"20","R-001","Relays","Miscellaneous","EV Car Battery"
"21","R-002","Relays","Miscellaneous","EV Car Battery"
"22","R-003","Relays","Miscellaneous","EV Car Battery"
"23","OEC-001","Other Electrical Components","Miscellaneous","EV Car Battery"
"24","OEC-002","Other Electrical Components","Miscellaneous","EV Car Battery"
"25","OEC-003","Other Electrical Components","Miscellaneous","EV Car Battery"
"26","HB-001","None","EV Home Battery - FP","Home Battery"
"27","BC-001","Battery Cells","Battery Cells","Home Battery"
"28","BMS-001","Battery Management System (BMS)","Battery Management System (BMS)","Home Battery"
"29","IN-001","Inverter","Inverter","Home Battery"
"30","CC-001","Charge Controller","Charge Controller","Home Battery"
"31","EHB-001","Enclosure Home Battery","Enclosure","Home Battery"
"32","MS-001","Monitoring system","Monitoring system","Home Battery"
"33","W-001","Wires","Wiring and Connectors","Home Battery"
"34","W-002","Wires","Wiring and Connectors","Home Battery"
"35","C-001","Connectors","Wiring and Connectors","Home Battery"
"36","F-002","Fuses","Miscellaneous","Home Battery"
"37","F-003","Fuses","Miscellaneous","Home Battery"
"38","R-001","Relays","Miscellaneous","Home Battery"
"39","R-003","Relays","Miscellaneous","Home Battery"
"40","OEC-003","Other Electrical Components","Miscellaneous","Home Battery"
"41","OEC-004","Other Electrical Components","Miscellaneous","Home Battery"
"42","OEC-005","Other Electrical Components","Miscellaneous","Home Battery"
