"","CustomerKey","CustomerName","CustomerCountry","CustomerCity","CustomerPostalCode","CustomerStreet","PlantKey"
"1",1,"O'Hara-MacGyver","Germany","Hamburg","22041","36 Westport Court",4
"2",2,"Smitham, Lind and Lindgren","Germany","München","81679","934 Shelley Lane",4
"3",3,"Becker-Heller","Germany","Halle","6116","7576 Browning Terrace",4
"4",4,"Runolfsdottir Inc","Germany","Essen","45141","862 Gateway Center",4
"5",5,"Hoppe Group","Germany","Hamburg Sankt Pauli","20459","69815 Ridgeview Center",4
"6",6,"Pouros-Reinger","Germany","Wuppertal","42285","29 Bowman Point",4
"7",7,"Schaden-Kessler","Germany","Dresden","1189","54135 Lake View Parkway",4
"8",8,"Barrows-Volkman","Belgium","Ninove","9404","78761 Hintze Point",4
"9",9,"Schulist, Green and Kessler","Germany","Dresden","1462","15723 Bartillon Lane",4
"10",10,"Windler-Daniel","Germany","Köln","51149","4719 Sycamore Hill",4
"11",11,"Champlin and Sons","Germany","Hamburg","20249","74595 Kinsman Point",4
"12",12,"Quitzon, Walter and Kessler","Germany","München","80337","6608 Brickson Park Street",4
"13",13,"Murray, Bahringer and Armstrong","Germany","Cottbus","3055","437 Packers Park",4
"14",14,"Gutkowski, White and Beatty","Germany","Freiburg im Breisgau","79106","22 Melvin Trail",4
"15",15,"Monahan-Rau","Germany","Hamburg Sankt Pauli","20459","6 Becker Point",4
"16",16,"Kunze-Nikolaus","Germany","Hannover","30453","79 Nevada Trail",4
"17",17,"Veum, Mante and Will","Belgium","Namur","5100","95 Coolidge Court",4
"18",18,"Jast-West","Germany","München","80995","370 7th Parkway",4
"19",19,"Quigley, Schamberger and O'Keefe","Germany","Lübeck","23568","94466 Menomonie Plaza",4
"20",20,"Dooley Group","Germany","Kassel","34132","87424 Bunker Hill Place",4
"21",21,"Kris-Deckow","Germany","Hannover","30167","87 6th Pass",4
"22",22,"Sawayn-Langosh","Germany","Stuttgart","70374","8274 Badeau Court",4
"23",23,"Lockman, Anderson and Aufderhar","Belgium","Bouillon","6834","815 Lotheville Park",4
"24",24,"Dach-Hauck","Germany","Frankfurt am Main","60325","43077 North Terrace",4
"25",25,"Crooks and Sons","Germany","Halle","6116","94402 Longview Place",4
"26",26,"Harber Group","Germany","Münster","48161","6 Porter Hill",4
"27",27,"Little-Ankunding","Germany","Frankfurt am Main","60325","5 Banding Pass",4
"28",28,"Hahn, Torp and Welch","Germany","Neuss","41468","873 Aberg Pass",4
"29",29,"Johnson, Legros and Rosenbaum","Germany","Stuttgart","70567","68 Homewood Court",4
"30",30,"Shields, Harber and Goldner","Germany","Halle","6126","80 Novick Parkway",4
"31",31,"Legros, Crona and Rippin","Germany","Hamburg Harvestehude","20249","48499 Drewry Hill",4
"32",32,"Carter, Willms and Schneider","Germany","München","81373","6778 Truax Parkway",4
"33",33,"Terry, Carroll and Gottlieb","Germany","München","80995","6911 Onsgard Street",4
"34",34,"Ortiz, Stamm and Abshire","Belgium","Charleroi","6042","33 Warrior Crossing",4
"35",35,"Walker-Deckow","Germany","Kiel","24109","9 Meadow Valley Pass",4
"36",36,"Fadel, Trantow and Kohler","Germany","Dillenburg","35687","69991 Manley Street",4
"37",37,"Ruecker-Leannon","Belgium","Péruwelz","7604","0369 Golf Course Pass",4
"38",38,"Shields, Mitchell and Breitenberg","Germany","Düsseldorf","40489","79 Melvin Crossing",4
"39",39,"Hermiston Group","Germany","Heilbronn","74080","19283 Holmberg Place",4
"40",40,"Carroll-Feest","Germany","Berlin","14199","993 Graedel Avenue",4
"41",41,"Koelpin LLC","Germany","Köln","50674","3836 Bunting Center",4
"42",42,"Auer, Price and Jerde","Germany","Berlin","14109","8 Pleasure Court",4
"43",43,"Rogahn LLC","Germany","Hamburg","20249","539 Little Fleur Place",4
"44",44,"O'Reilly-Rempel","Germany","Augsburg","86156","666 Hanson Avenue",4
"45",45,"McClure, Emard and Streich","Germany","Chemnitz","9116","5 Florence Alley",4
"46",46,"Boyle-O'Reilly","Germany","Wetzlar","35581","01 Dennis Circle",4
"47",47,"Connelly-Glover","Germany","Hamburg","22453","2 Lunder Hill",4
"48",48,"Larson, Reichert and Pfannerstill","Germany","Ludwigshafen am Rhein","67067","09 Ryan Park",4
"49",49,"Heathcote-Romaguera","Belgium","Bruxelles","1170","8844 Almo Parkway",4
"50",50,"Quigley-Hodkiewicz","Belgium","Antwerpen","2170","39 High Crossing Terrace",4
"51",51,"Padberg Inc","Germany","Mülheim an der Ruhr","45473","0 Heath Center",4
