"","PurchaseOrder","PurchaseOrderCreationDate","VendorKey","PlantKey","MaterialKey","MaterialPlantKey","PurchaseOrderQuantity","PlannedGoodsReceiptDate","ActualGoodsReceiptDate","PlannedArrivalDateYard","ActualArrivalDateYard","PlannedVendorShipmentDate","ActualVendorShipmentDate"
"1",4500000001,2023-06-07,1002,5,1,10005,69,2023-06-30,2023-07-04,2023-06-28,2023-07-02,2023-06-27,2023-07-01
"2",4500000002,2023-03-05,1001,7,1,10007,80,2023-03-28,2023-03-24,2023-03-26,2023-03-26,2023-03-25,2023-03-25
"3",4500000003,2022-08-22,1002,8,2,20008,79,2022-09-15,2022-09-27,2022-09-13,2022-09-25,2022-09-11,2022-09-23
"4",4500000004,2024-03-09,1001,4,1,10004,84,2024-04-01,2024-03-28,2024-03-30,2024-03-30,2024-03-29,2024-03-29
"5",4500000005,2024-10-27,1003,6,1,10006,75,2024-11-19,2024-11-18,2024-11-17,2024-11-17,2024-11-16,2024-11-16
"6",4500000006,2022-11-04,1002,5,1,10005,76,2022-11-27,2022-11-25,2022-11-25,2022-11-25,2022-11-24,2022-11-24
"7",4500000007,2021-12-17,1001,4,1,10004,79,2022-01-09,2022-01-09,2022-01-07,2022-01-07,2022-01-06,2022-01-06
"8",4500000008,2022-09-04,1002,5,1,10005,85,2022-09-27,2022-09-23,2022-09-25,2022-09-25,2022-09-24,2022-09-24
"9",4500000009,2024-07-18,1002,5,1,10005,73,2024-08-10,2024-08-09,2024-08-08,2024-08-08,2024-08-07,2024-08-07
"10",4500000010,2023-09-18,1002,5,1,10005,70,2023-10-11,2023-10-11,2023-10-09,2023-10-09,2023-10-08,2023-10-08
"11",4500000011,2022-01-23,1001,4,1,10004,81,2022-02-15,2022-02-10,2022-02-13,2022-02-13,2022-02-12,2022-02-12
"12",4500000012,2023-09-14,1003,6,1,10006,70,2023-10-07,2023-10-07,2023-10-05,2023-10-05,2023-10-04,2023-10-04
"13",4500000013,2024-03-19,1002,8,1,10008,80,2024-04-12,2024-04-23,2024-04-10,2024-04-21,2024-04-08,2024-04-19
"14",4500000014,2023-05-10,1001,4,1,10004,69,2023-06-02,2023-06-02,2023-05-31,2023-05-31,2023-05-30,2023-05-30
"15",4500000015,2023-03-31,1001,4,1,10004,74,2023-04-23,2023-04-23,2023-04-21,2023-04-21,2023-04-20,2023-04-20
"16",4500000016,2023-03-05,1002,5,1,10005,81,2023-03-28,2023-03-23,2023-03-26,2023-03-26,2023-03-25,2023-03-25
"17",4500000017,2023-04-09,1003,6,1,10006,77,2023-05-02,2023-04-27,2023-04-30,2023-04-30,2023-04-29,2023-04-29
"18",4500000018,2023-06-22,1001,4,1,10004,78,2023-07-15,2023-07-14,2023-07-13,2023-07-13,2023-07-12,2023-07-12
"19",4500000019,2024-10-06,1001,4,2,20004,84,2024-10-29,2024-10-25,2024-10-27,2024-10-27,2024-10-26,2024-10-26
"20",4500000020,2022-01-11,1001,4,1,10004,91,2022-02-03,2022-02-01,2022-02-01,2022-02-01,2022-01-31,2022-01-31
"21",4500000021,2024-03-15,1001,4,1,10004,71,2024-04-07,2024-04-04,2024-04-05,2024-04-05,2024-04-04,2024-04-04
